site,name,lnCover,lnDens,lnTotalSR,lnOpenSR,RII,CushEff,PTSum,EvapSum
2,Ecuador1,2.624668592,2.864705308,3.218875825,2.833213344,-0.2989025,0.245115453,22.23500708,43.32366667
3,Ecuador2,3.824284091,4.744494351,3.80666249,3.688879454,-0.09839244,0.051683262,22.23500708,43.32366667
4,Ecuador2,2.708050201,1.748503961,3.295836866,2.995732274,0.31746912,0.18467183,22.23500708,43.32366667
5,Atacama,1.62924054,0.40292856,2.397895273,2.079441542,0.29816017,0.272065514,1.674397133,4.839222222
8,Elqui,3.044522438,1.783945688,3.091042453,2.944438979,0.18988883,0.108399812,1.302997445,13.29302222
9,Elqui,2.90690106,0.231349788,2.48490665,1.791759469,0.4408387,0.471365639,2.515322836,18.6267037
11,Franciscano,2.493205453,1.373133131,3.295836866,2.890371758,0.06510145,0.263803681,2.193522202,34.81392593
12,Tres Puntas,2.501435952,0.795116954,2.995732274,2.63905733,0.11503707,0.273482097,2.193522202,34.81392593
13,La Parva,3.891820298,1.742901803,3.496507561,3.218875825,0.26322371,0.236174763,0.80713709,31.62317778
14,La Parva,3.591817741,2.492411749,3.583518938,3.135494216,0.21918867,0.326500732,0.80713709,31.62317778
15,Antuco,2.302585093,-0.195793716,2.890371758,2.302585093,0.52929173,0.349381913,3.284832331,79.85392593
16,Antuco,3.912023005,2.377799591,3.218875825,2.708050201,0.2117142,0.340369393,3.839268187,94.58277778
17,Bariloche,1.916922612,0.572447395,3.17805383,2.079441542,0.65987059,0.661590525,6.461191974,89.45648148
18,Bariloche,1.916922612,0.108764715,3.17805383,2.079441542,0.72852917,0.647887324,6.461191974,89.45648148
19,Bariloche,2.32238772,0.254176994,3.218875825,2.079441542,0.72520703,0.670239077,6.461191974,89.45648148
23,Torres del Paine,3.401197382,1.362557408,3.555348061,3.433987204,-0.1394564,-0.007474813,18.96067376,73.4072963
24,Torres del Paine,3.401197382,1.167702933,3.688879454,3.36729583,0.07888548,0.137161559,18.96067376,73.4072963
25,Torres del Paine,2.302585093,0.311914389,3.555348061,2.772588722,0.63148304,0.483037157,18.96067376,73.4072963
26,Torres del Paine,2.302585093,-0.2026059,3.33220451,2.564949357,0.5031888,0.419383653,18.96067376,73.4072963
31,Beartooth,2.240709689,3.092266451,3.401197382,3.218875825,0.5189307,0.143835616,3.921957734,68.32551852
32,Beartooth,2.091864062,3.254863294,3.135494216,2.833213344,0.3123412,0.207089552,3.921957734,68.32551852
33,Rogers Pass,2.803360381,2.241595821,3.33220451,2.944438979,0.40547425,0.253438114,3.40422732,62.46937037
34,Waterworks,2.923161581,2.448127399,3.295836866,2.944438979,0.45291912,0.208333333,2.187161192,63.98140741
36,Mt. Jumbo,3.610917913,2.5868112,2.833213344,2.63905733,0.01906122,0.066666667,2.187161192,63.98140741
37,Bald Mt. Utah,2.850706502,1.033940425,3.17805383,2.772588722,0.60643764,0.2760181,6.004627544,69.75477778
38,San Francisco Mt.,2.917770732,0.640010082,2.708050201,1.791759469,0.7962354,0.551569507,1.446759024,24.36411852
39,San Francisco Mt.,2.63905733,0.189793572,2.197224577,1.791759469,0.73473245,0.29245283,1.446759024,24.36411852
41,Mt. Hutt,2.674148649,1.931907811,3.526360525,3.218875825,0.41165079,0.210858586,12.49681456,97.43874073
42,Old Man Range,3.786459782,2.110884304,2.890371758,2.48490665,0.41170171,0.303944316,15.77978504,70.26288889
43,Mt. Burns,1.931521412,2.807410473,3.526360525,3.33220451,0.38106682,0.140840749,28.29034193,81.64037037
44,Lebanon,2.517696473,2.761590968,2.944438979,2.564949357,0.26295853,0.237536657,0.364261475,32.70917407
45,Lebanon,3.440418095,3.301880296,3.258096538,2.995732274,0.10565358,0.157894737,0.364261475,32.70917407
46,Iran,3.015534901,2.289043822,3.218875825,3.091042453,0.34290137,0.085999169,0.650964958,23.07798148
47,Slovakia Silene acaulis,3.433987204,4.965757245,4.127134385,4.007333185,-0.28245088,-0.097147417,21.75763173,116.1415185
50,Ny-Ålesund,2.292534757,3.584986611,1.386294361,1.386294361,-0.10466174,-0.063829787,12.20087882,33.80629629
52,Val Bercla,3.104586678,2.322453078,3.583518938,2.995732274,0.75837268,0.391727494,24.56714305,71.34833334
53,Gemmi,3.005682604,1.108119782,3.465735903,2.48490665,0.7287594,0.545454545,21.92291488,87.58666667
54,Gemmi,2.272125886,2.406821227,3.891820298,2.995732274,0.62542982,0.534016775,21.92291488,87.58666667
56,Cabezas de Hierro,2.856470206,2.190768136,2.944438979,2.772588722,0.30597899,0.119427628,1.775155533,71.7722963
57,Valle Nevado,3.737669618,2.937477965,4.025351691,4.025351691,-0.43676189,-0.076923077,2.193522202,34.81392593
58,Tres Puntas,1.916922612,1.545667097,3.36729583,2.890371758,0.30181542,0.354144241,2.193522202,34.81392593
59,Elqui,3.058707073,2.034953983,3.135494216,2.890371758,0.25910618,0.206349206,1.302997445,13.29302222
60,Elqui,2.901421594,0.281186019,2.772588722,1.791759469,0.70716089,0.621928166,2.515322836,18.6267037
61,Valle Nevado,3.737669618,3.205600091,4.025351691,4.025351691,-0.5471253,-0.061812666,2.193522202,34.81392593
62,White Mountains,2.624668592,-0.091676789,2.197224577,1.791759469,0.65020794,0.289099526,0.479034827,18.18127037
63,White Mountains,2.541601993,1.103632997,2.63905733,2.48490665,0.28962182,0.105812221,0.479034827,18.18127037
64,Torres del Paine,2.58021683,1.201192243,3.17805383,2.63905733,0.41187604,0.370220423,18.75295899,81.09225926
65,Two Medicine Glacier,2.595254707,0.849081982,3.784189634,2.995732274,0.63750671,0.489665731,4.721565498,84.95725928
67,Cathedral Lake 1,2.054123734,1.799520938,2.995732274,2.63905733,0.47736186,0.267399267,4.310222366,94.73785186
68,Cathedral Lake 2_Silene,2.140066163,1.755066057,2.772588722,2.079441542,0.61583157,0.411331862,4.310222366,94.73785186
69,Red Mountain,2.360854001,2.253164593,3.17805383,2.890371758,0.18609075,0.184413231,5.858908332,70.87025926
72,Pink Mountains 3,2.2300144,2.052729917,2.708050201,2.564949357,0.15687113,0.066762383,8.348903346,93.18781482
73,Benasque 1,1.704748092,2.918183318,3.526360525,3.258096538,0.23396009,0.201964395,9.132399061,112.0028148
74,Benasque 2,2.272125886,3.109659519,3.663561646,3.496507561,0.14110176,0.089403974,9.132399061,112.0028148
75,Whistler North,2.028148247,2.083508261,3.36729583,3.135494216,0.06444988,0.150036955,7.046715068,87.11466667
