"","AMSMEN","AVENA","BRADIS","BRIMIN","BRODIA","BROHOR","BROMAD","CALCIL","CARDUUS","CASATT","CYNECH","DAUCAR","DAUPUS","DICCAP","DICVOL","ELYGLA","EROBOT","EUPSPA","FILGAL","GALIUM","GERSP","HORSP","HYPGLA","LAM","LINUM","LOLMUL","LOTUS","LUPBIC","MEDPOL","MICCAL","NASPUL","NAVLEU","ODOHAR","PETDUB","PHAAQU","PLALAN","PLANOT","RANOCC","SANBIP","SIDHAR","SILGAL","TAECAP","TRIHIR","TRIIXI","TRISP","VICIA","VULMYU","ZIGFRE"
"C111",0,27.5,2.5,0,2.5,10,0,0,6.5,0,7.5,0,1.25,0,0,0,6.25,0,0,0,0.25,2.5,2.5,0,1.25,5,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,6.25,13.75,2.5,0,0,0,0
"C111E",0,45.5,0,0,13.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.25,0.25,0,1.25,0,0
"C111N",0,0,3.75,0,2.5,15,7.5,0,2.75,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16.25,17.5,0,0,0,0,0
"C121",0,83.75,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.5,0,0,0,0,0
"F112",0,43.75,6.25,0,0,5,1.25,0,0,0,0,0,0,0.5,0.5,0,9,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,26.25,0,0,0,0,1.25
"F113",0,10.5,0,0,1.25,26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,4.25,0,0,0,0,0
"F114",0,0.25,0,5,0,8.75,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1.5,0.25,0,3,0,0,31.25,0,0,0,0,0,0.5,0,0,0,0,0,0,7.5,0,0,30,1.5,4,0,0,0,0
"F122",0,40,1.25,0,0,15,0,0,0,0,0,0,0,0.5,0,0,1.25,0,0,0.25,0,1.5,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,15,8.75,0,0,0,0,0
"F132",0.25,46.25,0,0,2.5,11.25,1.25,0,0,0,0,0,0,0.25,0,0,4.25,0,0,0,0.5,2.5,1.75,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,15,0,0,0,0,0.5
"F134",0,32.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,3.75,0,0,1.25,0,0,5,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.75,0,0,0,0,0
"F141",0.25,67.5,0,0,0,6.25,1.5,0,0,0,0,0,0.25,0,0,0,2.75,0,0,1.25,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,8.75,0,0,0,0,0
"F142",0.25,35,0,0,0.25,2.75,0,0,0,0,0,0,0.25,0,0,0,1.25,0,0,0.25,0.25,25,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,3.75,0,0,0,0,0
"F144",0,67.5,5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"F151",0,15,0,0,0,10,0,0,0,0,0,0,0.5,2,0,0,5.5,0,0,0.5,0,0,5,0,0,10,0,0,3.75,0.25,0,0,0,0,0,0,0,0,0.5,0,0,36.25,11.25,0,0,1.25,0,0
