plot	species	abund
C111	AVENA	275
C111	BRADIS	25
C111	BRODIA	25
C111	BROHOR	100
C111	CARDUUS	65
C111	CYNECH	75
C111	DAUPUS	13
C111	EROBOT	63
C111	GERSP	3
C111	HORSP	25
C111	HYPGLA	25
C111	LINUM	13
C111	LOLMUL	50
C111	PHAAQU	38
C111	TAECAP	63
C111	TRIHIR	138
C111	TRIIXI	25
C111E	AVENA	455
C111E	BRODIA	138
C111E	BROHOR	5
C111E	HORSP	213
C111E	LOLMUL	13
C111E	TAECAP	150
C111E	TRIHIR	13
C111E	TRIIXI	3
C111E	VICIA	13
C111N	BRADIS	38
C111N	BRODIA	25
C111N	BROHOR	150
C111N	BROMAD	75
C111N	CARDUUS	28
C111N	EROBOT	100
C111N	LINUM	50
C111N	LOLMUL	100
C111N	PHAAQU	100
C111N	TAECAP	163
C111N	TRIHIR	175
C121	AVENA	838
C121	BROHOR	25
C121	HORSP	13
C121	TAECAP	100
C121	TRIHIR	25
F112	AVENA	438
F112	BRADIS	63
F112	BROHOR	50
F112	BROMAD	13
F112	DICCAP	5
F112	DICVOL	5
F112	EROBOT	90
F112	HYPGLA	3
F112	TAECAP	58
F112	TRIHIR	263
F112	ZIGFRE	13
F113	AVENA	105
F113	BRODIA	13
F113	BROHOR	263
F113	HORSP	80
F113	LOLMUL	290
F113	TAECAP	213
F113	TRIHIR	43
F114	AVENA	3
F114	BRIMIN	50
F114	BROHOR	88
F114	EROBOT	25
F114	GALIUM	15
F114	GERSP	3
F114	HYPGLA	30
F114	LOLMUL	313
F114	NAVLEU	5
F114	SANBIP	75
F114	TAECAP	300
F114	TRIHIR	15
F114	TRIIXI	40
F122	AVENA	400
F122	BRADIS	13
F122	BROHOR	150
F122	DICCAP	5
F122	EROBOT	13
F122	GALIUM	3
F122	HORSP	15
F122	LOLMUL	163
F122	SANBIP	13
F122	TAECAP	150
F122	TRIHIR	88
F132	AMSMEN	3
F132	AVENA	463
F132	BRODIA	25
F132	BROHOR	113
F132	BROMAD	13
F132	DICCAP	3
F132	EROBOT	43
F132	GERSP	5
F132	HORSP	25
F132	HYPGLA	18
F132	LOLMUL	20
F132	PLANOT	5
F132	TAECAP	150
F132	TRIHIR	150
F132	ZIGFRE	5
F134	AVENA	325
F134	BROHOR	125
F134	EROBOT	38
F134	GALIUM	13
F134	HYPGLA	50
F134	LOLMUL	13
F134	TRIHIR	438
F141	AMSMEN	3
F141	AVENA	675
F141	BROHOR	63
F141	BROMAD	15
F141	DAUPUS	3
F141	EROBOT	28
F141	GALIUM	13
F141	HYPGLA	25
F141	TAECAP	125
F141	TRIHIR	88
F142	AMSMEN	3
F142	AVENA	350
F142	BRODIA	3
F142	BROHOR	28
F142	DAUPUS	3
F142	EROBOT	13
F142	GALIUM	3
F142	GERSP	3
F142	HORSP	250
F142	LOLMUL	125
F142	TAECAP	63
F142	TRIHIR	38
F144	AVENA	675
F144	BRADIS	50
F144	CARDUUS	5
F144	DICCAP	5
F144	EROBOT	13
F144	TRIHIR	250
F151	AVENA	150
F151	BROHOR	100
F151	DAUPUS	5
F151	DICCAP	20
F151	EROBOT	55
F151	GALIUM	5
F151	HYPGLA	50
F151	LOLMUL	100
F151	MEDPOL	38
F151	MICCAL	3
F151	SANBIP	5
F151	TAECAP	363
F151	TRIHIR	113
F151	VICIA	13
F161	AVENA	525
F161	BRODIA	25
F161	BROHOR	125
F161	DAUPUS	5
F161	DICVOL	13
F161	HORSP	150
F161	LOLMUL	63
F161	TAECAP	50
F161	TRIHIR	38
F2	AVENA	338
F2	BRADIS	25
F2	BROHOR	50
F2	DICCAP	3
F2	EROBOT	75
F2	LOLMUL	200
F2	TAECAP	313
F2	TRIHIR	5
H7	AMSMEN	25
H7	AVENA	75
H7	BRODIA	13
H7	BROHOR	275
H7	DICCAP	3
H7	EROBOT	13
H7	GALIUM	13
H7	HORSP	125
H7	HYPGLA	38
H7	LOLMUL	88
H7	TAECAP	263
H7	TRIHIR	75
H9	AVENA	538
H9	BROHOR	163
H9	BROMAD	38
H9	DICCAP	3
H9	EROBOT	63
H9	LOLMUL	13
H9	TAECAP	88
H9	TRIHIR	78
H9	VICIA	25
K111A	BRIMIN	63
K111A	BROHOR	150
K111A	EROBOT	125
K111A	HYPGLA	213
K111A	LUPBIC	53
K111A	MEDPOL	88
K111A	MICCAL	25
K111A	NAVLEU	13
K111A	PETDUB	38
K111A	TAECAP	63
K111A	TRIHIR	125
K111A	VULMYU	38
K111C	BRIMIN	75
K111C	BROHOR	150
K111C	BROMAD	138
K111C	DAUPUS	25
K111C	DICCAP	13
K111C	EROBOT	13
K111C	GERSP	13
K111C	LUPBIC	25
K111C	MEDPOL	25
K111C	MICCAL	213
K111C	NAVLEU	50
K111C	SILGAL	150
K111C	TRIHIR	63
K111C	VICIA	50
K111E	BRADIS	200
K111E	BROHOR	13
K111E	EROBOT	63
K111E	GALIUM	63
K111E	HYPGLA	200
K111E	LOTUS	38
K111E	MEDPOL	88
K111E	MICCAL	38
K111E	NAVLEU	25
K111E	ODOHAR	13
K111E	PLALAN	50
K111E	SIDHAR	63
K111E	SILGAL	13
K111E	TRIHIR	63
K111E	TRIIXI	13
K111E	VULMYU	63
K111F	AVENA	13
K111F	BROHOR	63
K111F	CARDUUS	25
K111F	EROBOT	25
K111F	GALIUM	13
K111F	HYPGLA	38
K111F	LOLMUL	25
K111F	MEDPOL	63
K111F	MICCAL	88
K111F	NAVLEU	13
K111F	SILGAL	13
K111F	TAECAP	213
K111F	TRIHIR	375
K111F	VICIA	13
K111G	BRIMIN	63
K111G	BROHOR	238
K111G	CYNECH	13
K111G	HYPGLA	138
K111G	LOLMUL	138
K111G	MEDPOL	63
K111G	PLANOT	13
K111G	TAECAP	225
K111G	TRIHIR	113
K111H	AMSMEN	13
K111H	AVENA	38
K111H	BRIMIN	88
K111H	BROHOR	163
K111H	BROMAD	25
K111H	CYNECH	13
K111H	EROBOT	75
K111H	HORSP	150
K111H	HYPGLA	13
K111H	LOLMUL	225
K111H	MEDPOL	63
K111H	NASPUL	63
K111H	PETDUB	25
K111H	TAECAP	13
K111H	TRIHIR	63
K121N	BRIMIN	28
K121N	BROHOR	13
K121N	BROMAD	113
K121N	CALCIL	13
K121N	CARDUUS	38
K121N	CYNECH	25
K121N	DAUPUS	138
K121N	ELYGLA	100
K121N	EROBOT	25
K121N	EUPSPA	13
K121N	GALIUM	50
K121N	GERSP	38
K121N	HYPGLA	63
K121N	MEDPOL	50
K121N	MICCAL	25
K121N	NAVLEU	13
K121N	PETDUB	13
K121N	RANOCC	25
K121N	SILGAL	63
K121N	TRIHIR	100
K121N	VICIA	63
K121S	AVENA	15
K121S	BROHOR	200
K121S	BROMAD	225
K121S	CYNECH	88
K121S	DAUPUS	65
K121S	DICCAP	3
K121S	EROBOT	13
K121S	GALIUM	25
K121S	HYPGLA	100
K121S	MEDPOL	50
K121S	MICCAL	13
K121S	SILGAL	38
K121S	TRIHIR	138
K121S	TRIIXI	13
K121S	VICIA	25
L111	AMSMEN	25
L111	BRODIA	138
L111	BROHOR	425
L111	BROMAD	75
L111	DAUCAR	100
L111	DAUPUS	13
L111	EROBOT	38
L111	GALIUM	13
L111	GERSP	25
L111	HYPGLA	50
L111	MEDPOL	13
L111	TAECAP	38
L111	TRIHIR	50
L111B	BRADIS	75
L111B	BRIMIN	25
L111B	BROHOR	68
L111B	BROMAD	15
L111B	CASATT	13
L111B	CYNECH	13
L111B	DAUPUS	38
L111B	DICCAP	25
L111B	EROBOT	13
L111B	GALIUM	50
