Site046,Astragalus_macrosemius,sample,cushion.open,Acantholimon_brachystachyum,Allium_tuchalense,Alopecurus_textilis,Arenaria_insignis,Asperula_glomerata,Astragalus_capito,Bromus_tomentosus,Campanula_ruprechtii,Catabrosella_parviflora,Crepis_heterotricha,Draba_pulchella,Elymus_longaristatus,Festuca_alaica,Galium_decumbens,Helichrysum_psychrophilum,Jurinella_frigida,Oxytropis_persicus,Physoptychis_gnaphalodes,Piptatherum_laterale,Poa_araratica,Polygonum_molliaeforme,Scorzonera_meyeri,Trachydium_depressum,Veronica_kurdica,Ziziphora_clinopodioides
,,1,cushion,1,,,,,,3,19,,,5,,,,,,,,,2,,,,,
,,2,cushion,1,,,,,,1,5,,,,,,1,,,,,,2,,,1,,
,,3,cushion,,,,1,,,,,,,,,,,,1,,,,1,,,,,
,,4,cushion,1,,,5,1,,,,,,2,,,,,,,,,2,,,,,
,,5,cushion,1,,,,,,,,,,,1,,,,2,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,1,,1,,,,,,,
,,7,cushion,,,,,,,,2,,,,3,,,,5,,,,,,,,,
,,8,cushion,1,,,,,,,,,,,1,,,,,,1,,,,,,,
,,9,cushion,,,,,,,,,,,,2,,,,,,1,,1,,,,,
,,10,cushion,3,2,,,,,,,,,,2,,,,,,,,2,,,,,
,,11,cushion,1,,,,,,,,,,,,,,,17,,,,4,,,,,
,,12,cushion,,,,,3,,,,,,1,,,,,,,,,5,,,,,
,,13,cushion,1,,,,,,3,,,,,,,,,,,,,,,,,,
,,14,cushion,1,,,1,,,,,,,,,,,,,,,,,,,,,
,,15,cushion,,2,,,,,,4,,,,,,,,,,,,,,,,,
,,16,cushion,,,2,,,,,,,,,,,,,,,,,3,,,,,
,,17,cushion,1,,4,,,,,,,,,,1,,,,,,,,,,,,
,,18,cushion,2,,,,,,,,,,4,,1,,,,,,,1,,,,,
,,19,cushion,,,,1,,,,,,,,,,,,,,2,,,,,,,
,,20,cushion,1,,,,,,1,,,,,1,1,,,,,,,,,,,,
,,21,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,
,,22,cushion,,,,,,,,,,,,3,,,,,,5,,,,,,,
,,23,cushion,,,,,,,,,,,,3,,,,,,5,,,,,,,
