,Forficulidae,Jumping Bristletail,green Chrysopid,blue Damselfly,Daddy long legs,Katydid,Tree Cricket,Brn.Wh. Acridid,leaf-like Katydid,bl. Thrip
fre1,0,0,1,0,0,0,0,0,0,0
fre2,0,0,1,0,0,1,0,0,0,0
fre3,0,0,6,0,0,0,0,0,0,0
fre4,1,0,2,0,0,0,0,0,0,0
fre5,0,0,1,1,0,0,0,0,0,1
fre6,0,0,0,0,0,0,1,0,0,0
fre7,0,0,0,0,0,0,0,0,0,0
fre8,0,0,2,0,0,0,0,0,0,1
fre9,0,0,12,0,0,0,0,0,0,4
fre10,0,0,1,0,0,0,0,1,0,0
fone1,1,0,0,0,0,0,0,0,0,2
fone2,0,0,3,0,0,1,0,0,0,0
fone3,0,0,1,0,0,0,0,0,0,0
fone4,0,0,0,0,0,0,0,1,0,0
fone5,1,0,9,0,0,0,0,0,0,1
fone6,0,0,7,1,0,0,0,0,0,0
fone7,1,0,1,0,0,0,0,0,0,0
fone8,0,0,9,0,0,0,0,0,0,1
fone9,0,0,0,0,0,0,0,0,0,0
fone10,0,0,3,0,0,0,0,0,0,1
bc1,0,0,0,0,0,0,0,0,0,0
bc2,1,0,4,0,0,1,0,0,0,0
bc3,0,0,2,0,0,0,0,0,1,0
bc4,0,0,0,0,0,1,0,0,0,0
bc5,0,0,10,0,0,1,0,0,0,2
bc6,0,0,2,0,0,0,0,0,0,0
bc7,1,0,0,0,0,0,0,0,0,0
bc8,0,0,5,0,0,1,0,0,0,0
bc9,0,0,5,0,0,0,0,0,0,1
bc10,0,0,0,0,0,0,0,0,0,0
narr1,0,0,3,0,0,0,0,0,0,1
narr2,0,0,0,0,0,0,0,0,0,0
narr3,0,0,5,0,1,0,0,0,0,0
narr4,0,0,0,0,0,0,0,0,0,0
narr5,0,1,38,0,0,0,0,0,0,1
narr6,0,0,5,0,0,0,0,0,0,2
narr7,0,0,5,0,0,0,0,0,0,0
narr8,0,0,13,0,0,0,0,0,0,1
narr9,0,0,1,0,0,0,0,0,0,2
narr10,1,0,5,0,0,0,0,0,0,1
