,Punkie,midge,Bl. Wh. Ottitid,Syrphidae,Phorid,Tangerine dip,Calliphoridae,muscid,bl. Pudgy Chalcid,Braconid,bl. Red Sphecid,Vespid,Andrenid,Myrmecine ant,Formica sp.1,Phllocolpa,Brn. Red Ichneumonid,Apidae,Aphidinae,Blotch mine,serpentine Leaf Mine,Fall Cankerworm,Leaf roll Tortricid,Gelechiid,Leaf Tier,Noctuid
fre1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0
fre2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0
fre3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,17,1,0,0,0,0
fre4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,9,0,0,0,0,0
fre5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,12,0,0,0,0,0
fre6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,18,0,1,1,0,0
fre7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,0,0,0,0
fre8,0,0,1,0,3,0,0,0,2,0,0,0,0,3,1,0,0,0,0,30,27,0,1,1,0,0
fre9,31,4,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,18,0,0,2,3,1,0
fre10,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,23,5,0,0,0,0,0
fone1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,1,0,1,0
fone2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,0,5,1,0,0
fone3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,2,0
fone4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,0,0,0,0,0
fone5,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,2,1,0
fone6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,4,0,0,0,0,0
fone7,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,5,0,3,0,0,0
fone8,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,19,0,0,0,1,0
fone9,1,0,0,0,5,1,0,0,1,0,0,0,0,24,0,1,0,0,0,29,8,0,2,0,0,0
fone10,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,5,3,0,1,0,1,0
bc1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0
bc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0
bc3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0
bc4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0
bc6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0
bc7,7,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,3,0,2,1,2,1
bc8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,0,0
bc9,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,2,3,0
bc10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
narr1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,1,1,0,0
narr2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0
narr3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,4,0,0,0,1,0
narr4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
narr5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,3,1,0
narr6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
narr7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0
narr8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0
narr9,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,0,2,7,1,0
narr10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0
