,Order,Family,Genus,Species,Subspecies,fre1,fre2,fre3,fre4,fre5,fre6,fre7,fre8,fre9,fre10,fone1,fone2,fone3,fone4,fone5,fone6,fone7,fone8,fone9,fone10,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,narr1,narr2,narr3,narr4,narr5,narr6,narr7,narr8,narr9,narr10
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Ambush bug: Phymata,Hemiptera,Reduviidae,Phymata,,,0,0,3,2,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthocorus,Hemiptera,Anthocoridae,Anthocorus,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,3,5,0,3,0,0,0,3,0,0,9,1,3,0,6,0
Aphidiinae,Hymenoptera,Braconidae,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
yellow/wh Araneidae: Araniella,Araneae,Araneidae,Araniella,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Araneus,Araneae,Araneidae,Araneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Araneid,Araneae,Araneidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Araneid Metapeira,Araneae,Araneidae,Metapeira,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Araneid Neoscona,Araneae,Araneidae,Neoscona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
BEB,Hemiptera,Rhopalidae,,,,2,6,0,0,4,5,1,1,17,5,2,8,4,4,10,2,10,2,25,7,3,11,7,8,4,6,13,3,3,3,7,11,6,5,6,3,10,5,4,12
blk beetle w/tail,Coleoptera,Mordellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Black Clerid,Coleoptera,Cleridae,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Black Eulophid,Hymenoptera,Eulophidae,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blk/brn/wh Theridiid,Araneae,Theridiidae,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
blk/brn/wh Curculionid,Coleoptera,Curculionidae,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blk/brn Salticid (Bredana),Araneae,Salticidae,Bredana,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Blk/wht Clubionid,Araneae,Clubionidae,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
blk/wh Coccinellid,Coleoptera,Coccinellidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
blk/wht Thrip (Aeolothripidae),Thysanoptera,Aeolothripidae,,,,1,2,0,0,5,1,1,0,0,1,8,2,0,0,3,0,2,2,2,1,0,1,2,0,3,0,1,0,0,0,1,1,0,1,0,0,1,2,0,1
blk Ichneumonid w/or legs,Hymenoptera,Ichneumonidae,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
Black braconid,Hymenoptera,Braconidae,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
Black Chloropid,Diptera,Chloropidae,,,,,,,,2,,,,,,4,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,
black Lygaeid,Hemiptera,Lygaeidae,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1
Black Weevil,Coleoptera,Curculionidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Blotch Mine,Lepidoptera,Lyonetiidae,,,,0,0,3,3,2,0,28,5,4,18,5,0,1,20,8,8,1,4,4,8,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,4,4,3
Blue/Metallic Flea Beetle,Coleoptera,Chrysomelidae,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BP Chalcid,Hymenoptera,Encyrtidae,,,,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,1
Bombyliid,Diptera,Bombyliidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Braconid w/ long antennae,Hymenoptera,Braconidae,,,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Braconid,Hymenoptera,Braconidae,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
